slug,alt_village,alt_ski_max,has_glacier,is_ski_resort,season_start,season_end,notes
# ═══════════════════════════════════════════════════════════════════
# Données ski — altitudes + glaciers + saison d'ouverture
# ═══════════════════════════════════════════════════════════════════
# alt_village    : altitude moyenne centre-ville (mètres)
# alt_ski_max    : altitude max du domaine skiable (mètres)
# has_glacier    : True si glacier permettant ski 365j/an
# is_ski_resort  : True vraie station, False ville de montagne
# season_start   : mois de début ouverture remontées (1=Jan, 12=Déc)
# season_end     : mois de fin fermeture (inclus)
#                  Glaciers 365j : season_start=1, season_end=12
#                  Non-ski : laisser vide
# ═══════════════════════════════════════════════════════════════════

# ─── ANDORRE ───
andorre,1023,2640,False,True,12,4,Grandvalira+Vallnord
grandvalira,2100,2640,False,True,12,4,Plus grand domaine Pyrénées

# ─── ARGENTINE ───
bariloche,893,2388,False,True,6,10,Cerro Catedral (hémisphère sud)

# ─── AUSTRALIE ───
perisher,1720,2054,False,True,6,10,Plus grand domaine hémisphère sud
thredbo,1365,2037,False,True,6,10,Mont Kosciuszko 2228m

# ─── AUTRICHE ───
hintertux,1500,3250,True,True,1,12,Glacier ski 365j/an
innsbruck,574,2340,False,False,,,Ville capitale Tyrol
ischgl,1377,2872,False,True,11,5,Silvretta Arena
kitzbuhel,762,2000,False,True,12,4,Hahnenkamm
lech,1450,2810,False,True,12,4,Arlberg
mayrhofen,630,2500,False,True,12,4,Zillertal
saalbach,1003,2096,False,True,12,4,Skicircus
salzburg,424,1853,False,False,,,Ville capitale Bade
schladming,745,2015,False,True,12,3,Planai+Hochwurzen
st-anton,1304,2811,False,True,12,4,Arlberg - Vallugaspitze
zell-am-see,760,3029,True,True,1,12,Kitzsteinhorn glacier 365j

# ─── AZERBAÏDJAN ───
shahdag,1500,2551,False,True,12,4,Complexe ski récent

# ─── BRÉSIL ───
chapada-diamantina,400,,False,False,,,Parc national

# ─── BULGARIE ───
bansko,925,2600,False,True,12,4,Todorka Peak

# ─── CANADA ───
banff,1383,2637,False,True,11,5,Sunshine+Lake Louise
big-white,1755,2319,False,True,11,4,BC - Kelowna
lake-louise,1661,2637,False,True,11,5,Banff area
mont-tremblant,265,875,False,True,11,4,Laurentides Québec
revelstoke,462,2225,False,True,11,4,Plus gros dénivelé Amérique N
whistler,675,2182,True,True,1,12,Horstman Glacier partiel 365j

# ─── CHILI ───
portillo,2880,3322,False,True,6,10,Andes centrales
